profile,limit_name,limit_value
DEFAULT,FAILED_LOGIN_ATTEMPTS,10
DEFAULT,PASSWORD_LIFE_TIME,180
DEFAULT,PASSWORD_ROLLOVER_TIME,0
DEFAULT,INACTIVE_ACCOUNT_TIME,UNLIMITED
DEFAULT,PASSWORD_GRACE_TIME,7
DEFAULT,PASSWORD_LOCK_TIME,1
DEFAULT,PASSWORD_VERIFY_FUNCTION,NULL
DEFAULT,PASSWORD_REUSE_MAX,UNLIMITED
DEFAULT,PASSWORD_REUSE_TIME,UNLIMITED
ORA_STIG_PROFILE,FAILED_LOGIN_ATTEMPTS,3
ORA_STIG_PROFILE,INACTIVE_ACCOUNT_TIME,35
ORA_STIG_PROFILE,PASSWORD_GRACE_TIME,5
ORA_STIG_PROFILE,PASSWORD_LOCK_TIME,UNLIMITED
ORA_STIG_PROFILE,PASSWORD_ROLLOVER_TIME,DEFAULT
ORA_STIG_PROFILE,PASSWORD_REUSE_MAX,10
ORA_STIG_PROFILE,PASSWORD_REUSE_TIME,365
ORA_STIG_PROFILE,PASSWORD_LIFE_TIME,60
ORA_STIG_PROFILE,PASSWORD_VERIFY_FUNCTION,ORA12C_STIG_VERIFY_FUNCTION
