grantee,privilege
ORACLE_AI,SELECT ANY DICTIONARY
PDB_DBA,CREATE PLUGGABLE DATABASE
PDB_DBA,CREATE SESSION
ORACLE_AI,UNLIMITED TABLESPACE
SYS,INHERIT ANY PRIVILEGES
RESOURCE,CREATE SEQUENCE
DBA,ALTER SESSION
DBA,CREATE TABLESPACE
DBA,ALTER TABLESPACE
DBA,ALTER USER
DBA,ALTER ROLLBACK SEGMENT
DBA,CREATE ANY CLUSTER
DBA,CREATE ANY SYNONYM
DBA,SELECT ANY SEQUENCE
DBA,DROP PROFILE
DBA,ALTER ANY MATERIALIZED VIEW
DBA,UNDER ANY VIEW
DBA,CREATE ANY CONTEXT
DBA,CREATE ANY OUTLINE
DBA,ON COMMIT REFRESH
DBA,SELECT ANY TRANSACTION
DBA,DROP ANY MINING MODEL
DBA,SELECT ANY MINING MODEL
DBA,DROP ANY CUBE DIMENSION
DBA,SELECT ANY CUBE
DBA,CREATE CUBE BUILD PROCESS
DBA,CREATE SQL TRANSLATION PROFILE
DBA,CREATE ANY SQL TRANSLATION PROFILE
DBA,CREATE LOCKDOWN PROFILE
DBA,DROP LOCKDOWN PROFILE
DBA,CREATE CREDENTIAL
DBA,CREATE ANY CREDENTIAL
DBA,LOGMINING
DBA,ALTER ANY MEASURE FOLDER
DBA,CREATE ATTRIBUTE DIMENSION
DBA,CREATE ANY ATTRIBUTE DIMENSION
DBA,ALTER ANY ATTRIBUTE DIMENSION
DBA,CREATE ANY HIERARCHY
AUDSYS,CREATE TABLE
SYS,ALTER USER
SYS,DROP ANY CLUSTER
SYS,CREATE PUBLIC SYNONYM
SYS,CREATE VIEW
SYS,DROP ANY VIEW
SYS,CREATE OPERATOR
SYS,ON COMMIT REFRESH
SYS,DEBUG CONNECT SESSION
SYS,CREATE ANY RULE SET
SYS,EXECUTE ANY RULE SET
SYS,CREATE RULE
SYS,ALTER ANY RULE
SYS,DROP ANY SQL PROFILE
SYS,MANAGE ANY FILE GROUP
SYS,DROP ANY ASSEMBLY
SYS,DROP ANY CUBE
SYS,CREATE ANY MEASURE FOLDER
SYS,DROP LOCKDOWN PROFILE
SYS,LOGMINING
SYS,DROP ANY HIERARCHY
SYS,ALTER ANY ANALYTIC VIEW
SYSTEM,CREATE TABLE
IMP_FULL_DATABASE,CREATE ANY TABLE
IMP_FULL_DATABASE,CREATE ANY SEQUENCE
IMP_FULL_DATABASE,INSERT ANY TABLE
IMP_FULL_DATABASE,CREATE ANY SQL PROFILE
IMP_FULL_DATABASE,ADMINISTER SQL MANAGEMENT OBJECT
IMP_FULL_DATABASE,DROP ANY PROCEDURE
DATAPUMP_EXP_FULL_DATABASE,CREATE SESSION
IMP_FULL_DATABASE,CREATE SESSION
IMP_FULL_DATABASE,ALTER USER
IMP_FULL_DATABASE,ALTER PROFILE
RECOVERY_CATALOG_OWNER,CREATE VIEW
EM_EXPRESS_ALL,CREATE JOB
EM_EXPRESS_ALL,CREATE TABLESPACE
EM_EXPRESS_ALL,DROP PROFILE
EXP_FULL_DATABASE,READ ANY FILE GROUP
SCHEDULER_ADMIN,MANAGE SCHEDULER
SYSBACKUP,DROP TABLESPACE
SYSBACKUP,SELECT ANY TRANSACTION
SYSKM,ADMINISTER KEY MANAGEMENT
GSMADMIN_INTERNAL,CREATE EXTERNAL JOB
GSMADMIN_INTERNAL,CREATE TABLESPACE
GSMADMIN_INTERNAL,ALTER DATABASE LINK
WMSYS,CREATE ANY TRIGGER
WMSYS,ADMINISTER DATABASE TRIGGER
WMSYS,LOCK ANY TABLE
JAVADEBUGPRIV,DEBUG CONNECT SESSION
MDSYS,CREATE SEQUENCE
MDSYS,INHERIT ANY PRIVILEGES
OLAP_DBA,SELECT ANY TABLE
OLAP_DBA,DROP ANY CUBE BUILD PROCESS
OLAP_DBA,DROP ANY VIEW
OLAP_USER,CREATE TABLE
OLAP_USER,CREATE CUBE
OLAP_USER,CREATE JOB
DV_REALM_RESOURCE,CREATE SYNONYM
DV_REALM_RESOURCE,CREATE TRIGGER
DV_REALM_OWNER,CREATE ANY MATERIALIZED VIEW
DV_REALM_OWNER,CREATE ANY OPERATOR
DV_REALM_OWNER,CREATE ANY SEQUENCE
DV_REALM_OWNER,ALTER ANY DIMENSION
DV_REALM_OWNER,ALTER ANY PROCEDURE
DV_REALM_OWNER,DROP ANY PROCEDURE
DV_REALM_OWNER,DROP ANY TYPE
DBA,ALTER SYSTEM
DBA,RESTRICTED SESSION
DBA,DROP ANY TABLE
DBA,LOCK ANY TABLE
