role,authentication_type
CONNECT,NONE
RESOURCE,NONE
DBA,NONE
PDB_DBA,NONE
AUDIT_ADMIN,NONE
AUDIT_VIEWER,NONE
SELECT_CATALOG_ROLE,NONE
EXECUTE_CATALOG_ROLE,NONE
CAPTURE_ADMIN,NONE
EXP_FULL_DATABASE,NONE
IMP_FULL_DATABASE,NONE
CDB_DBA,NONE
APPLICATION_TRACE_VIEWER,NONE
LOGSTDBY_ADMINISTRATOR,NONE
DBFS_ROLE,NONE
GSMUSER_ROLE,NONE
GSMROOTUSER_ROLE,NONE
AQ_ADMINISTRATOR_ROLE,NONE
AQ_USER_ROLE,NONE
DATAPUMP_EXP_FULL_DATABASE,NONE
DATAPUMP_IMP_FULL_DATABASE,NONE
ADM_PARALLEL_EXECUTE_TASK,NONE
PROVISIONER,NONE
XS_SESSION_ADMIN,NONE
XS_NAMESPACE_ADMIN,NONE
XS_CACHE_ADMIN,NONE
XS_CONNECT,NONE
ACCHK_READ,NONE
HS_ADMIN_ROLE,NONE
GATHER_SYSTEM_STATISTICS,NONE
OPTIMIZER_PROCESSING_RATE,NONE
DBMS_MDX_INTERNAL,NONE
BDSQL_ADMIN,NONE
BDSQL_USER,NONE
RECOVERY_CATALOG_OWNER,NONE
RECOVERY_CATALOG_OWNER_VPD,NONE
RECOVERY_CATALOG_USER,NONE
EM_EXPRESS_BASIC,NONE
EM_EXPRESS_ALL,NONE
SYSUMF_ROLE,NONE
MAINTPLAN_APP,NONE
NOTIFICATIONS_USER,NONE
NOTIFICATIONS_ADMIN,NONE
SCHEDULER_ADMIN,NONE
HS_ADMIN_SELECT_ROLE,NONE
HS_ADMIN_EXECUTE_ROLE,NONE
DATAPATCH_ROLE,NONE
GLOBAL_AQ_USER_ROLE,GLOBAL
OEM_ADVISOR,NONE
OEM_MONITOR,NONE
GSMADMIN_ROLE,NONE
GSM_POOLADMIN_ROLE,NONE
GDS_CATALOG_SELECT,NONE
GGSYS_ROLE,NONE
XDBADMIN,NONE
XDB_SET_INVOKER,NONE
AUTHENTICATEDUSER,NONE
XDB_WEBSERVICES,NONE
XDB_WEBSERVICES_WITH_PUBLIC,NONE
XDB_WEBSERVICES_OVER_HTTP,NONE
SODA_APP,NONE
WM_ADMIN_ROLE,NONE
JAVAUSERPRIV,NONE
JAVAIDPRIV,NONE
JAVASYSPRIV,NONE
JAVADEBUGPRIV,NONE
EJBCLIENT,NONE
JMXSERVER,NONE
DBJAVASCRIPT,NONE
JAVA_ADMIN,NONE
CTXAPP,NONE
ORDADMIN,NONE
OLAP_XS_ADMIN,NONE
DV_SECANALYST,NONE
OLAP_DBA,NONE
OLAP_USER,NONE
RDFCTX_ADMIN,NONE
LBAC_DBA,NONE
DV_MONITOR,NONE
DV_ADMIN,NONE
DV_OWNER,NONE
DV_ACCTMGR,NONE
DV_PUBLIC,NONE
DV_PATCH_ADMIN,NONE
DV_STREAMS_ADMIN,NONE
DV_GOLDENGATE_ADMIN,NONE
DV_XSTREAM_ADMIN,NONE
DV_GOLDENGATE_REDO_ACCESS,NONE
DV_AUDIT_CLEANUP,NONE
DV_REALM_RESOURCE,NONE
DV_DATAPUMP_NETWORK_LINK,NONE
DV_POLICY_OWNER,NONE
DV_REALM_OWNER,NONE
