sql_id,plan_hash_value,id,parent_id,operation,options,object_name
gngtvs38t0060,3679945446,0,,SELECT STATEMENT,,
gngtvs38t0060,3679945446,1,0.0,SORT,UNIQUE,
gngtvs38t0060,3679945446,2,1.0,UNION-ALL,,
gngtvs38t0060,3679945446,3,2.0,CONNECT BY,WITH FILTERING (UNIQUE),
gngtvs38t0060,3679945446,4,3.0,HASH JOIN,,
gngtvs38t0060,3679945446,5,4.0,NESTED LOOPS,,
gngtvs38t0060,3679945446,6,5.0,STATISTICS COLLECTOR,,
gngtvs38t0060,3679945446,7,6.0,INDEX,RANGE SCAN,I_CODEAUTH1
gngtvs38t0060,3679945446,8,5.0,INDEX,RANGE SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,9,4.0,INDEX,FAST FULL SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,10,3.0,HASH JOIN,,
gngtvs38t0060,3679945446,11,10.0,NESTED LOOPS,,
gngtvs38t0060,3679945446,12,11.0,STATISTICS COLLECTOR,,
gngtvs38t0060,3679945446,13,12.0,CONNECT BY PUMP,,
gngtvs38t0060,3679945446,14,11.0,INDEX,RANGE SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,15,10.0,INDEX,FAST FULL SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,16,2.0,INDEX,RANGE SCAN,I_CODEAUTH1
gngtvs38t0060,3679945446,0,,SELECT STATEMENT,,
gngtvs38t0060,3679945446,1,0.0,SORT,UNIQUE,
gngtvs38t0060,3679945446,2,1.0,UNION-ALL,,
gngtvs38t0060,3679945446,3,2.0,CONNECT BY,WITH FILTERING (UNIQUE),
gngtvs38t0060,3679945446,4,3.0,HASH JOIN,,
gngtvs38t0060,3679945446,5,4.0,NESTED LOOPS,,
gngtvs38t0060,3679945446,6,5.0,STATISTICS COLLECTOR,,
gngtvs38t0060,3679945446,7,6.0,INDEX,RANGE SCAN,I_CODEAUTH1
gngtvs38t0060,3679945446,8,5.0,INDEX,RANGE SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,9,4.0,INDEX,FAST FULL SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,10,3.0,HASH JOIN,,
gngtvs38t0060,3679945446,11,10.0,NESTED LOOPS,,
gngtvs38t0060,3679945446,12,11.0,STATISTICS COLLECTOR,,
gngtvs38t0060,3679945446,13,12.0,CONNECT BY PUMP,,
gngtvs38t0060,3679945446,14,11.0,INDEX,RANGE SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,15,10.0,INDEX,FAST FULL SCAN,I_SYSAUTH1
gngtvs38t0060,3679945446,16,2.0,INDEX,RANGE SCAN,I_CODEAUTH1
06gfrprr7w0r2,2709293936,0,,SELECT STATEMENT,,
06gfrprr7w0r2,2709293936,1,0.0,TABLE ACCESS,CLUSTER,USER$
06gfrprr7w0r2,2709293936,2,1.0,INDEX,UNIQUE SCAN,I_USER#
cvz6r0wmrn1ch,3869398808,0,,SELECT STATEMENT,,
cvz6r0wmrn1ch,3869398808,1,0.0,SORT,ORDER BY,
cvz6r0wmrn1ch,3869398808,2,1.0,TABLE ACCESS,FULL,AUD$
16qnyr3uh81xv,2657262937,0,,SELECT STATEMENT,,
16qnyr3uh81xv,2657262937,1,0.0,FIXED TABLE,FULL,X$KQLFXPL
9g485acn2n30m,3483575214,0,,SELECT STATEMENT,,
9g485acn2n30m,3483575214,1,0.0,TABLE ACCESS,BY INDEX ROWID,REFCON$
9g485acn2n30m,3483575214,2,1.0,INDEX,RANGE SCAN,I_REFCON2
7tjrvtj82c34m,2007252183,0,,SELECT STATEMENT,,
7tjrvtj82c34m,2007252183,1,0.0,FILTER,,
7tjrvtj82c34m,2007252183,2,1.0,NESTED LOOPS,,
7tjrvtj82c34m,2007252183,3,2.0,HASH JOIN,,
7tjrvtj82c34m,2007252183,4,3.0,HASH JOIN,,
7tjrvtj82c34m,2007252183,5,4.0,HASH JOIN,OUTER,
7tjrvtj82c34m,2007252183,6,5.0,HASH JOIN,,
7tjrvtj82c34m,2007252183,7,6.0,HASH JOIN,OUTER,
7tjrvtj82c34m,2007252183,8,7.0,HASH JOIN,,
7tjrvtj82c34m,2007252183,9,8.0,MERGE JOIN,CARTESIAN,
7tjrvtj82c34m,2007252183,10,9.0,TABLE ACCESS,FULL,PROFILE$
7tjrvtj82c34m,2007252183,11,9.0,BUFFER,SORT,
7tjrvtj82c34m,2007252183,12,11.0,TABLE ACCESS,FULL,PROFILE$
7tjrvtj82c34m,2007252183,13,8.0,TABLE ACCESS,FULL,USER$
7tjrvtj82c34m,2007252183,14,7.0,TABLE ACCESS,FULL,RESOURCE_GROUP_MAPPING$
7tjrvtj82c34m,2007252183,15,6.0,TABLE ACCESS,FULL,PROFNAME$
7tjrvtj82c34m,2007252183,16,5.0,TABLE ACCESS,FULL,TS$
7tjrvtj82c34m,2007252183,17,4.0,TABLE ACCESS,FULL,TS$
7tjrvtj82c34m,2007252183,18,3.0,TABLE ACCESS,FULL,TS$
