sql_id,elapsed_time,cpu_time,buffer_gets,disk_reads
2z0udr4rc402m,35789,35671,17,1
gngtvs38t0060,33450,28707,407,6
06gfrprr7w0r2,19133,19512,232,1
as96c2zu6s14k,4416,3152,57,4
cvz6r0wmrn1ch,15084,15531,3,0
1gfaj4z5hn1kf,0,0,0,0
16qnyr3uh81xv,457765,391265,245,4
7bd391hat42zk,1656,2119,1,0
9g485acn2n30m,9388,9545,82,0
7tjrvtj82c34m,21851,21246,331,0
7j6s88dwj037d,326234,324114,349,5
dxkqgnf3f843s,7970,7618,78,0
a4kt90pdb44w2,206052,205008,155,15
asvzxj61dc5vs,19141,20149,184,1
djtgd2xzb46bj,2585,1410,30,3
9x2prazfz86dz,209236,209448,1620,0
b9c6ffh8tc71f,0,0,0,0
7hz6qkr2687bv,115975,103282,1441,82
g4y6nw3tts7cc,59942,59544,210,0
3dd8n8jn447uk,1175213,1053239,2459,36
btxgfg0qwc7ws,0,0,0,0
6v7830rv3w7zf,16972,16087,4,0
g392shwjn48m7,4234,3429,79,5
7kaq4kd6jc8nk,42379,42009,67,0
ayfkhnatj08v0,2130,2013,154,2
7ttzdd2rww8wk,7108,7394,200,2
3ms7w0c6ph91t,11531,9989,151,2
acmvv4fhdc9zh,211381,199189,3151,40
9afz3av0ahau0,1670,1314,57,3
80pacht4d4bch,0,0,0,0
axxh6fwbvnbpm,604,603,0,0
bay3va0dzsc0m,7246,7292,88,1
5rurx5xtjwcu2,16166,16269,8,0
avf5k3k0x0cxn,14869,14930,127,0
cw5z8q8v50fhr,3008,2427,30,0
2vb9hsvpw0gtg,5108,4724,60,0
1whbv96gpshqt,7610,5365,54,4
35hatv0pj8hw7,0,0,0,0
8rwu7c3wtsj3x,311488,310812,152,1
9wncfacx0nj9h,6854,6873,117,0
47r1y8yn34jmj,6251,5578,56,0
91092j6z1cjx2,4310,3212,29,5
56h11bx91nk74,22272,21420,115,5
2syvqzbxp4k9z,11528,11141,105,1
0bzyrc5yb4m22,21410,20187,36,0
akr7gjf83hm87,7574,8171,134,1
7hj57uz99sm9k,14804,13688,12,0
5pj6mtazkhmdd,39510,39392,803,0
c1tm9zpz6cng9,425108,411356,3850,811
0hmxb5bddhph2,73157,72042,388,7
4aav4kp8w4pws,835,590,13,0
6qz82dptj0qr7,11390,11910,274,0
bzux1cg5t4qwp,35094,33673,18,0
3z6kck3n94qzq,0,0,0,0
5qddgxh3thrqt,6488,3464,140,7
cn6hhn36a4rrs,15327,14997,190,0
4m7m0t6fjcs5x,50652,49644,66,0
fs7h3cb49hs7s,1167,1173,6,0
gb1xbyxa78s85,50499,47863,332,9
0576dn78v0sa8,1495,867,38,1
dnw4gjpv5ssfr,837,469,4,1
8nqm25pvrcsgj,129686,129179,4912,0
bku5fwd8bhsn6,27037,26556,233,0
3b58h6abm8snh,2541163,2359196,22912,1028
9zg9qd9bm4spu,22025,22800,111,0
3qdz4tzym0ssp,1415,938,57,5
8nwsztmf3wt4w,38771,36308,467,19
f3g84j69n0tjh,11326,12428,274,0
chtu940qhsubv,1128,918,57,2
gaf3ymhaj4uv4,186954,183214,296,13
dxzvvpyvwsv1b,7022,6689,8,0
9kamw54b0nvy3,69973,69079,163,0
3dbzmtf9ahvzt,50919,43182,447,5
5j98bb4cuswt0,7428,7801,94,2
7am4w4pp3nwtm,39835,39571,127,0
114cujtvfwx6j,0,0,0,0
0qv27wt724y7s,23058,24031,13,0
b13g21mgg8y98,23724,25116,1896,0
f705bwx3q0ydq,140607,140478,898,0
5s2pn51a28yk0,0,0,0,0
851zdcnu151n7,5355,5190,60,1
65xsp107h522f,70267,66766,859,5
fmn3725gyd27z,274,275,0,0
5zkq1jmacd2rd,156977,152552,347,2
fxkc1wch1536d,36842,35903,170,0
92msxsqu593cm,6363,5460,84,4
gx4mv66pvj3xz,17058,15914,860,0
5u7g54s63p4ts,26545,25555,706,8
3un99a0zwp4vd,283400,229624,4031,173
d6c1vuy6zj59n,829,828,0,0
553jjxmryp5ba,94640,91391,969,22
3pgnu5d5tj5h5,0,0,0,0
2fh7x5wjbt5q5,4543,3668,70,0
0sbbcuruzd66f,224748,201188,8388,176
340chgpg8x78v,3020,3048,24,0
1p36ta7p3d7fu,5837,4991,71,0
5yaurap8h97nx,24008,22873,0,0
b2sb7rm7vt887,0,0,0,0
am4p1u3c258s0,657927,649886,9840,2
c3utnxsnrx8tk,0,0,0,0
4vv6sxkgg58yr,21639,21083,315,0
0gx3b09qrx9f5,12340,11368,141,3
2t9wz9s1n19x9,17148,17110,34,0
d8avr91ng5a4d,1134,1073,38,1
6szzv7waa9adv,0,0,0,0
1ptv0pqq0xafa,4490,4402,80,0
a4n4ayr88dbhy,36952,34175,424,10
6gnd62qmb9bx9,6043,5367,130,0
5as9aks0v9ct9,50722,50336,4,0
4cvqvs489pd6k,1506,1062,60,3
5c3628r6npd9a,50304,49020,75,0
9kg6pqttrtda0,0,0,0,0
64rfs3cy3xdc2,228304,218953,2510,57
cfpb4yx22xdnc,0,0,0,0
a1gd9m7g6xds8,6172,5857,0,0
duvs34p3qxf1g,0,0,0,0
cf4xq9mbkjfct,0,0,0,0
5dqz0hqtp9fru,65152,65073,843,7
d77x6f7gw9hfv,18754,18601,148,1
9zzuyxx4pjhsx,0,0,0,0
4nb18857stht7,27430,27451,16,0
56mc14bjt1hv4,38219,37382,207,0
5gsy7rfn4tj3g,1497,1018,46,1
ak5crjygnpk60,17782,17387,78,0
0s3rajbztxkcz,7382,7167,78,0
7wxs7gyyytkku,2255,1834,0,0
cj182pk54xkq2,6431,6216,57,0
fh5ufah919kun,42697,34157,362,42
76czxsh33pmfq,13628,12931,18,0
39sapw7j19n9v,2439,1863,61,4
1gyftfbd49na1,9838,9295,85,3
cc58t2hkfpnaq,20336,21279,76,0
4k9kfawdutnzz,103257,98209,275,20
99b46d8qf1pvn,0,0,0,0
bp1gb77ug1q0k,1097,876,4,0
8zb8z82m6xq6j,0,0,0,0
dycmpuj6apqjs,18772,19263,49,3
6c9wx6z8w9qpu,2032,2495,17,0
b9nbhsbx8tqz5,17798,17172,146,0
094s4v7s5xr4c,20123,20091,143,0
a1xgxtssv5rrp,33265,34784,136,0
bw0b5zv1wxryq,10044,9696,41,0
afx304d90ps3z,13745,13430,132,1
6vacnvkvkxsda,337315,334779,2156,5
8mqmasy2r5sg0,645885,615978,7349,343
2xyb5d6xg9srh,935,932,20,0
38z2dr4ssxswn,1301,1238,12,0
2ajc7pwz9jsx3,29718,28893,122,0
dj3d42uu1xt8r,7751,7053,67,3
f0h5rpzmhju11,40177,40297,207,0
13sjt151vxu5v,42254,42324,76,4
3h3hu1yt85ugm,5089,4498,6,4
0rchqc9t7puxd,129750,129249,12,0
d9q2q82g1tuzx,8097,7214,14,0
dfkak2dp95v1g,0,0,0,0
fn5q3pxjh5v2r,2148,1509,45,1
121ffmrc95v7g,306130,289148,2113,47
bkjjva7hjxw65,7517,7233,54,0
fzrshwabvtwc0,4785,5602,44,2
a3jpjzh7mtwwp,99406,77354,732,120
9gwhf5twaty38,806,805,38,1
26zqr8wdc5yp3,3220,2753,77,1
d7zvk9bn8dyr6,13183,11161,165,2
3fyp64nvs5ysq,37506,35100,51,0
bstcsrkvndz3w,0,0,0,0
6h3cwmunz5z8q,37858,35559,290,17
0b639nx4zdzxr,16884,16514,64,0
ggfbp7y9kq0bj,9339,8459,12,0
1b9s9bgmy20hc,10538,9761,66,0
03guhbfpak0w7,30623,24250,379,29
9p6bq1v54k13j,35392,34940,106,0
4q4jbjk75q14c,0,0,0,0
f5p7gttxuk166,2275,2152,37,0
59nx89ywvq1cx,2365,1699,0,0
axmdf8vq7k1rh,20246,20251,54,1
23s96rf87635s,5897,6044,66,1
b6t1wu2k8k380,58600,57534,42,0
19x1189chq3xd,11846,11838,96,1
04kug40zbu4dm,60174,58761,3536,0
d7219snrdf519,1583,1593,0,0
654dxyu0ha69d,17963,16607,133,0
b80uys4v5f6at,7771,5622,51,5
7vukkk6k166q2,5798,5922,10,1
1bk6w14asu6wh,0,0,0,0
c3zymn7x3k6wy,61754,41375,190,3
4h0jc467cq70k,107819,107634,259,5
1utpv7pkxf73v,15000,14510,4,0
8bfgn7a4ff82x,20559,20917,203,0
adds4wma0y8c4,11288,10287,74,4
7s3kbm6k1u8hp,1602,2294,43,0
d76mkgyrk68r8,917,917,38,1
bk6dpmptuk8s8,0,0,0,0
9sg6u8xys290z,52898,53118,693,0
c8h20n1d0k95m,2344,1711,2,0
fnf5tnd1029kv,139242,135719,896,12
6xvp6nxs4a9n4,21469,21357,46,0
gzyyzbq6rqa2x,0,0,0,0
dk2pr75qt2ac2,0,0,0,0
13phtsz426amy,0,0,0,0
0zy56vnk62an3,1364,987,60,1
dvbdp81qw2as2,737,725,0,0
7z9wmu1t3kawd,17112,17124,59,0
f7z6ub6j3qb42,12749,8416,27,0
230dc5n49yb74,3374,3432,81,3
0ujw9vfabqbb4,0,0,0,0
3cfqundn1acc5,0,0,0,0
33ynjnrxuycth,56584,55553,682,18
0m78skf1mudnb,2805,2574,46,0
3jwcydvpa6f5t,1253,1502,0,0
gt3y0sr7zafbx,0,0,0,0
35ra2cdwvqg1w,11902,11291,115,0
1vxbvm6m4ug43,35765,34788,12,0
avvfapa4gfgc4,35142,21734,116,1
586577qpbkgnk,113013,111053,622,2
fw07zwwyz6gva,20896,17577,185,0
b1wc53ddd6h3p,6277,6205,73,2
87gaftwrm2h68,70298,67762,2642,16
dsq3mrzawyhj1,29520,28390,12,0
6n2qqv1brfhpp,14774,14703,67,0
6cvwwaw48yhyq,56112,43818,384,15
2b91mgxcxfj13,14290,13551,31,0
9ycc42xuxaj6a,5471,6209,916,0
0zpy0gkp7yjk8,0,0,0,0
bbah6s85fqjv4,0,0,0,0
20vv6ttajyjzq,0,0,0,0
2fknu6y6tym45,0,0,0,0
730vdzhng6m6g,0,0,0,0
1xdsy3y3uupcf,0,0,0,0
9w50hgp8akpz5,1936,1720,6,0
9tt2m0mpc2qqp,42983,33710,391,44
4c2hr5psc6qys,0,0,0,0
gd28w82ct6rva,958,958,6,0
3kqrku32p6sfn,34024,34040,772,0
fy8bgmw8b2swb,62435,61421,100,0
48ccar413yt61,185289,176584,279,0
06mpdtz80yuju,0,0,0,0
0pq07cf952uux,2467,2747,36,0
32bhha21dkv0v,5155,4634,274,0
b1t4m2c8suvby,0,0,0,0
53saa2zkr6wc3,28639,28965,1940,4
9skuywjwdawj9,0,0,0,0
9rfqm06xmuwu0,8478,8437,274,0
7nuw4xwrnuwxq,28419,28619,274,0
656ddjmmdax8s,2782,2578,69,1
10gywwmwk6xfy,4545,4092,69,1
ac8wzzswuaxq6,3225,1371,57,3
5n1fs4m2n2y0r,41872,39921,2479,16
5ubvjth08ky8v,825,281,44,0
9zpztc7h1az2x,5482,5274,57,3
d1x3vahmsqzau,15747,15781,3,0
5say587752zh3,6992,6403,22,0
c7fnaqcmbm0b5,7213,7232,15,0
0yn07bvqs30qj,19906,18340,282,0
fr31mzzknv0wh,843,843,3,0
dwrsskqx13146,0,0,0,0
cwy84maygr14v,0,0,0,0
0dfxfyy5r32qq,6541,6490,61,0
78arbgt93b2sy,87649,86541,3860,0
8swypbbr0m372,92803,83715,3376,69
1kb56hd6c73bv,4970,5450,114,0
bd4bznqbq73hk,2237,1720,76,0
bsa0wjtftg3uw,60161,63096,75,0
5x2x7y2umr3y7,11408,11060,34,0
a8xypykqc348c,1208833,203273,1864,4
0cuq8hauqv4h6,0,0,0,0
6u5zqzz2nm55c,2653,2221,0,0
g0r5psznj761u,1822,1696,9,0
7z7n648sgr6h4,7761,7644,112,0
2sxqgx5hx76qr,152147,138425,3467,298
fytfkjs15v75y,75550,66889,472,3
17qqjz2knz7kc,98744,95271,223,0
58bhdn6kgr7xc,26904,23290,214,12
ayrqbxhv1m8gr,103625,102682,12,0
csnp95dz2r8ss,6221,5399,6,0
1fgbrwjfdv8uf,0,0,0,0
g5zv38nj5r8w6,33125,33476,96,0
g4gp07gt2z920,0,0,0,0
3rw49yhahg984,1163,593,38,1
ajkubg7upg9pu,2102,1947,3,0
2z63cn46qrat7,0,0,0,0
4usy97b1zbbj5,1271,996,9,0
69u4kx0gkbc22,42360,41744,278,1
cb21bacyh3c7d,18968,19440,73,0
0zjv4c0cxrcpt,0,0,0,0
9afa6ps95vcsz,65353,64846,16,0
8hyn7421qmdhu,860,767,21,0
gjaap3w3qbf8c,99698,86852,340,5
9rjc5cmt7mg3w,6429,7059,397,0
23945tbbh3g44,0,0,0,0
0k8522rmdzg4k,28704,29753,209,2
865qwpcdyggkk,11272,13021,27,0
gzyt498gtbgt5,1058,808,41,1
9778hnuwrmgu7,418,417,0,0
1j6t6x3a5vgwa,2678,1999,8,0
0nvr1rz2arhh3,24403,24647,96,0
f3ww8rgva3hrs,111475,116344,3904,22
7rcuuapvurjnq,30776,30173,21,0
9cdtq741ggk2h,154911,126684,549,2
599kk70c4bmmk,8947,7902,117,3
66tyyrdwrbmx7,26172,26348,68,0
ac7kbcgkmbn2s,1492,1305,43,0
cjdjbdtw37nbd,0,0,0,0
5mykxdw7zzpaj,954,914,8,0
2h0gb24h6zpnu,0,0,0,0
4q09bbnbvvquv,70892,68743,364,2
7csat3hh6gqv5,279698,256271,1572,71
9prf8ggx1rrbv,0,0,0,0
gx6pd8mg57t2u,26637,26737,162,2
b4p816cw0mt42,1016,464,38,1
9wdjq7t2g7tmc,959,760,0,0
50vxqdkj4zu1w,26059,26498,239,0
0fr8zhn4ymu3v,9245,8757,96,1
14s3z6v0m3ug9,1193,588,38,1
dry76m1g0rv0n,0,0,0,0
4tvgntg4c3vyt,15512,14015,240,1
