grantee,privilege,admin_option
ANONYMOUS,CREATE SESSION,NO
APPQOSSYS,ADMINISTER RESOURCE MANAGER,NO
APPQOSSYS,CREATE SESSION,NO
APPQOSSYS,ALTER SESSION,NO
AQ_ADMINISTRATOR_ROLE,ENQUEUE ANY QUEUE,YES
AQ_ADMINISTRATOR_ROLE,DEQUEUE ANY QUEUE,YES
AQ_ADMINISTRATOR_ROLE,CREATE EVALUATION CONTEXT,YES
AQ_ADMINISTRATOR_ROLE,MANAGE ANY QUEUE,YES
AQ_ADMINISTRATOR_ROLE,CREATE RULE,YES
AQ_ADMINISTRATOR_ROLE,CREATE RULE SET,YES
AUDIT_ADMIN,AUDIT ANY,NO
AUDIT_ADMIN,AUDIT SYSTEM,NO
AUDSYS,CREATE JOB,NO
AUDSYS,ANALYZE ANY DICTIONARY,NO
AUDSYS,CREATE TABLE,NO
AUDSYS,SELECT ANY DICTIONARY,NO
AUDSYS,ALTER SESSION,NO
AUDSYS,SET CONTAINER,NO
AUDSYS,RESTRICTED SESSION,NO
CDB_DBA,SET CONTAINER,NO
CONNECT,SET CONTAINER,NO
CONNECT,CREATE SESSION,NO
CTXAPP,CREATE SEQUENCE,NO
CTXSYS,CREATE SYNONYM,NO
CTXSYS,SET CONTAINER,NO
CTXSYS,CREATE PUBLIC SYNONYM,NO
CTXSYS,DROP PUBLIC SYNONYM,NO
CTXSYS,CREATE SESSION,NO
CTXSYS,ALTER SESSION,NO
CTXSYS,CREATE JOB,NO
CTXSYS,UNLIMITED TABLESPACE,NO
CTXSYS,CREATE VIEW,NO
CTXSYS,INHERIT ANY PRIVILEGES,NO
CTXSYS,MANAGE SCHEDULER,NO
DATAPATCH_ROLE,ALTER SESSION,NO
DATAPUMP_EXP_FULL_DATABASE,CREATE SESSION,NO
DATAPUMP_EXP_FULL_DATABASE,CREATE TABLE,NO
DATAPUMP_IMP_FULL_DATABASE,GRANT ANY PRIVILEGE,NO
DATAPUMP_IMP_FULL_DATABASE,EXECUTE ANY OPERATOR,NO
DATAPUMP_IMP_FULL_DATABASE,ALTER USER,NO
DATAPUMP_IMP_FULL_DATABASE,ALTER DATABASE,NO
DATAPUMP_IMP_FULL_DATABASE,ALTER PROFILE,NO
DATAPUMP_IMP_FULL_DATABASE,GRANT ANY OBJECT PRIVILEGE,NO
DATAPUMP_IMP_FULL_DATABASE,GRANT ANY ROLE,NO
DATAPUMP_IMP_FULL_DATABASE,SELECT ANY TABLE,NO
DATAPUMP_IMP_FULL_DATABASE,DELETE ANY TABLE,NO
DATAPUMP_IMP_FULL_DATABASE,AUDIT ANY,NO
DATAPUMP_IMP_FULL_DATABASE,CREATE SESSION,NO
DATAPUMP_IMP_FULL_DATABASE,CREATE PROFILE,NO
DATAPUMP_IMP_FULL_DATABASE,AUDIT SYSTEM,NO
DATAPUMP_IMP_FULL_DATABASE,ALTER RESOURCE COST,NO
DBA,AUDIT SYSTEM,NO
DBA,ALTER ANY TABLE,NO
DBA,ALTER ANY SEQUENCE,NO
DBA,DROP PUBLIC DATABASE LINK,NO
DBA,AUDIT ANY,NO
DBA,ALTER ANY TYPE,NO
DBA,DROP ANY TYPE,NO
DBA,EXECUTE ANY LIBRARY,NO
DBA,CREATE ANY OPERATOR,NO
DBA,DROP ANY OPERATOR,NO
DBA,CREATE ANY INDEXTYPE,NO
DBA,DROP ANY INDEXTYPE,NO
DBA,EXECUTE ANY INDEXTYPE,NO
DBA,IMPORT FULL DATABASE,NO
DBA,EXECUTE ANY RULE,NO
DBA,CREATE JOB,NO
DBA,DROP ANY SQL PROFILE,NO
DBA,ALTER ANY SQL PROFILE,NO
DBA,CREATE ANY SQL PROFILE,NO
DBA,CHANGE NOTIFICATION,NO
DBA,DROP ANY EDITION,NO
DBA,CREATE ANY ASSEMBLY,NO
DBA,COMMENT ANY MINING MODEL,NO
DBA,DROP ANY MEASURE FOLDER,NO
DBA,READ ANY TABLE,NO
DBA,MANAGE TABLESPACE,NO
DBA,CREATE ANY TABLE,NO
DBA,CREATE SEQUENCE,NO
DBA,GRANT ANY ROLE,NO
DBA,ALTER ANY ROLE,NO
DBA,CREATE ANY PROCEDURE,NO
DBA,ALTER ANY PROCEDURE,NO
DBA,DROP ANY PROCEDURE,NO
DBA,EXECUTE ANY PROCEDURE,NO
DBA,CREATE ANY DIRECTORY,NO
DBA,CREATE ANY TYPE,NO
DBA,CREATE ANY LIBRARY,NO
DBA,DROP ANY LIBRARY,NO
DBA,ALTER ANY INDEXTYPE,NO
DBA,ENQUEUE ANY QUEUE,NO
DBA,DEQUEUE ANY QUEUE,NO
DBA,ADVISOR,NO
DBA,DROP ANY ASSEMBLY,NO
DBA,ALTER ANY CUBE DIMENSION,NO
DBA,CREATE ANY CUBE DIMENSION,NO
DBA,ALTER ANY CUBE,NO
DBA,DROP ANY CUBE BUILD PROCESS,NO
DBA,UPDATE ANY CUBE DIMENSION,NO
DBA,USE ANY SQL TRANSLATION PROFILE,NO
DBA,SET CONTAINER,NO
DBA,CREATE ANY EDITION,NO
DBA,ALTER ANY ASSEMBLY,NO
DBA,CREATE CUBE DIMENSION,NO
DBA,INSERT ANY CUBE DIMENSION,NO
DBA,CREATE ANY MEASURE FOLDER,NO
DBA,ADMINISTER SQL MANAGEMENT OBJECT,NO
DBA,ALTER ANY SQL TRANSLATION PROFILE,NO
DBA,EM EXPRESS CONNECT,NO
DBA,DROP ANY HIERARCHY,NO
DBA,BECOME USER,NO
DBA,DROP USER,NO
DBA,INSERT ANY TABLE,NO
DBA,DROP ANY SYNONYM,NO
DBA,CREATE VIEW,NO
DBA,CREATE TYPE,NO
DBA,EXECUTE ANY OPERATOR,NO
DBA,CREATE INDEXTYPE,NO
DBA,GLOBAL QUERY REWRITE,NO
DBA,ALTER ANY DIMENSION,NO
DBA,ADMINISTER DATABASE TRIGGER,NO
DBA,SELECT ANY DICTIONARY,NO
DBA,GRANT ANY OBJECT PRIVILEGE,NO
DBA,DROP ANY RULE SET,NO
DBA,DROP ANY RULE,NO
DBA,EXECUTE ANY PROGRAM,NO
DBA,ALTER ANY EDITION,NO
DBA,CREATE MINING MODEL,NO
DBA,CREATE ANY MINING MODEL,NO
DBA,ALTER ANY MINING MODEL,NO
DBA,UPDATE ANY CUBE,NO
DBA,ALTER LOCKDOWN PROFILE,NO
DBA,SELECT ANY CUBE BUILD PROCESS,NO
DBA,DROP ANY ATTRIBUTE DIMENSION,NO
DBA,CREATE ANALYTIC VIEW,NO
DBA,DROP ANY INDEX,NO
DBA,CREATE DATABASE LINK,NO
DBA,FORCE ANY TRANSACTION,NO
