username,account_status,created
SYS,OPEN,2023-06-08 23:27:48
SYSTEM,OPEN,2023-06-08 23:27:48
XS$NULL,EXPIRED & LOCKED,2023-06-08 23:46:13
LBACSYS,LOCKED,2023-06-09 00:11:35
OUTLN,LOCKED,2023-06-08 23:27:50
DBSNMP,LOCKED,2023-06-08 23:54:12
APPQOSSYS,LOCKED,2023-06-08 23:54:12
DBSFWUSER,LOCKED,2023-06-08 23:46:23
GGSYS,LOCKED,2023-06-08 23:54:20
ANONYMOUS,EXPIRED & LOCKED,2023-06-08 23:55:21
CTXSYS,EXPIRED & LOCKED,2023-06-09 00:02:40
DVSYS,LOCKED,2023-06-09 00:12:00
DVF,LOCKED,2023-06-09 00:12:00
GSMADMIN_INTERNAL,LOCKED,2023-06-08 23:45:50
OLAPSYS,LOCKED,2023-06-09 00:05:35
MDSYS,LOCKED,2023-06-09 00:03:02
XDB,LOCKED,2023-06-08 23:55:21
WMSYS,LOCKED,2023-06-08 23:59:35
GSMCATUSER,LOCKED,2023-06-08 23:54:16
MDDATA,LOCKED,2023-06-09 00:08:46
SYSBACKUP,LOCKED,2023-06-08 23:27:48
REMOTE_SCHEDULER_AGENT,LOCKED,2023-06-08 23:46:23
PDBADMIN,OPEN,2026-01-09 14:15:56
GSMUSER,LOCKED,2023-06-08 23:45:50
SYSRAC,LOCKED,2023-06-08 23:27:48
OJVMSYS,LOCKED,2023-06-09 00:01:00
SI_INFORMTN_SCHEMA,LOCKED,2023-06-09 00:03:02
AUDSYS,LOCKED,2023-06-08 23:27:48
DIP,LOCKED,2023-06-08 23:45:55
ORDPLUGINS,LOCKED,2023-06-09 00:03:02
ORACLE_AI,OPEN,2026-01-09 14:26:19
SYSKM,LOCKED,2023-06-08 23:27:48
ORDDATA,LOCKED,2023-06-09 00:03:02
ORACLE_OCM,LOCKED,2023-06-08 23:47:04
SYS$UMF,LOCKED,2023-06-08 23:51:45
SYSDG,LOCKED,2023-06-08 23:27:48
ORDSYS,LOCKED,2023-06-09 00:03:02
