username,account_status,default_tablespace,profile,granted_role,admin_option
ANONYMOUS,EXPIRED & LOCKED,SYSAUX,DEFAULT,,
APPQOSSYS,LOCKED,SYSAUX,DEFAULT,,
AUDSYS,LOCKED,USERS,DEFAULT,,
CTXSYS,EXPIRED & LOCKED,SYSAUX,DEFAULT,RESOURCE,NO
CTXSYS,EXPIRED & LOCKED,SYSAUX,DEFAULT,CTXAPP,YES
DBSFWUSER,LOCKED,SYSAUX,DEFAULT,,
DBSNMP,LOCKED,SYSAUX,DEFAULT,CDB_DBA,NO
DBSNMP,LOCKED,SYSAUX,DEFAULT,DV_MONITOR,NO
DBSNMP,LOCKED,SYSAUX,DEFAULT,OEM_MONITOR,NO
DIP,LOCKED,USERS,DEFAULT,,
DVF,LOCKED,SYSAUX,DEFAULT,,
DVSYS,LOCKED,SYSAUX,DEFAULT,,
GGSYS,LOCKED,SYSAUX,DEFAULT,,
GSMADMIN_INTERNAL,LOCKED,SYSAUX,DEFAULT,DATAPUMP_IMP_FULL_DATABASE,NO
GSMADMIN_INTERNAL,LOCKED,SYSAUX,DEFAULT,DATAPUMP_EXP_FULL_DATABASE,NO
GSMADMIN_INTERNAL,LOCKED,SYSAUX,DEFAULT,GSM_POOLADMIN_ROLE,YES
GSMCATUSER,LOCKED,USERS,DEFAULT,GSM_POOLADMIN_ROLE,NO
GSMCATUSER,LOCKED,USERS,DEFAULT,AQ_ADMINISTRATOR_ROLE,NO
GSMCATUSER,LOCKED,USERS,DEFAULT,GSMADMIN_ROLE,NO
GSMUSER,LOCKED,USERS,DEFAULT,GSMUSER_ROLE,NO
LBACSYS,LOCKED,SYSTEM,DEFAULT,LBAC_DBA,YES
MDDATA,LOCKED,USERS,DEFAULT,,
MDSYS,LOCKED,SYSAUX,DEFAULT,AQ_ADMINISTRATOR_ROLE,NO
MDSYS,LOCKED,SYSAUX,DEFAULT,CTXAPP,NO
OJVMSYS,LOCKED,USERS,DEFAULT,,
OLAPSYS,LOCKED,SYSAUX,DEFAULT,,
ORACLE_AI,OPEN,USERS,DEFAULT,DBA,NO
ORACLE_AI,OPEN,USERS,DEFAULT,RESOURCE,NO
ORACLE_AI,OPEN,USERS,DEFAULT,CONNECT,NO
ORACLE_AI,OPEN,USERS,DEFAULT,RECOVERY_CATALOG_OWNER,NO
ORACLE_OCM,LOCKED,USERS,DEFAULT,,
ORDDATA,LOCKED,USERS,DEFAULT,,
ORDPLUGINS,LOCKED,USERS,DEFAULT,,
ORDSYS,LOCKED,USERS,DEFAULT,,
OUTLN,LOCKED,SYSTEM,DEFAULT,,
PDBADMIN,OPEN,USERS,DEFAULT,PDB_DBA,YES
REMOTE_SCHEDULER_AGENT,LOCKED,USERS,DEFAULT,,
SI_INFORMTN_SCHEMA,LOCKED,USERS,DEFAULT,,
SYS,OPEN,SYSTEM,DEFAULT,GSMUSER_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,AQ_ADMINISTRATOR_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,BDSQL_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,JAVADEBUGPRIV,YES
SYS,OPEN,SYSTEM,DEFAULT,JAVA_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,OLAP_DBA,YES
SYS,OPEN,SYSTEM,DEFAULT,OLAP_USER,YES
SYS,OPEN,SYSTEM,DEFAULT,RESOURCE,YES
SYS,OPEN,SYSTEM,DEFAULT,IMP_FULL_DATABASE,YES
SYS,OPEN,SYSTEM,DEFAULT,XS_SESSION_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,NOTIFICATIONS_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,HS_ADMIN_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,GSM_POOLADMIN_ROLE,YES
SYS,OPEN,SYSTEM,DEFAULT,DBJAVASCRIPT,YES
SYS,OPEN,SYSTEM,DEFAULT,OLAP_XS_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,DV_REALM_OWNER,YES
SYS,OPEN,SYSTEM,DEFAULT,AUDIT_VIEWER,YES
SYS,OPEN,SYSTEM,DEFAULT,CAPTURE_ADMIN,YES
SYS,OPEN,SYSTEM,DEFAULT,GATHER_SYSTEM_STATISTICS,YES
SYS,OPEN,SYSTEM,DEFAULT,OPTIMIZER_PROCESSING_RATE,YES
SYS,OPEN,SYSTEM,DEFAULT,EM_EXPRESS_ALL,YES
SYS,OPEN,SYSTEM,DEFAULT,GSMADMIN_ROLE,YES
